అంకిత	ankita
అంకితం	ankitham
అంకితభావం	ankithabhavam
అంకితమిచ్చాడు	ankitamichhaadu
అంకితమిచ్చారు	amkithamichaaru
అంకితమైన	ankithamaina
అంకుశం	ankusham
అంకెలు	ankelu
అంగ	anga
అంగం	angam
అంగడి	angadi
అంగదుడు	angadudu
అంగరంగ	angaranga
అంగరక్షకులు	angarakshakulu
అంగవైకల్యం	angavaikalyam
అంగారక	angaaraka
అంగాల	angaala
అంగీకరించదు	angikarinchadu
అంగీకరించలేదు	aangeekarinchaleedu
అంగీకరిస్తాడు	amgiikaristaadu
అంగీకరిస్తారు	amgiikaristhaaru
అంగీకరిస్తుంది	amgiikaristhumdi
అంగీకార	angeekara
అంగీకారం	amgiikaaram
అంగీకారంతో	amgiikaaramthoo
అంగీరస	angirasa
అంగుళం	angulam
అంగుళాల	angulaala
అంచనా	anchanaa
అంచనాల	amchanaala
అంచనాలతో	anchanalato
అంచనాలను	ancanalanu
అంచనాలు	anchanaalu
అంచు	anchu
అంచున	anchuna
అంచుని	anchuni
అంచుల	anchula
అంచులలో	anchulalo
అంచులు	anchulu
అంచెల	anchela
అంచెలంచెలుగా	anchelanchelugaa
అంచేత	ancheta
అంజయ్య	anjayya
అంజలి	anjali
అంజలీదేవి	anjalidevi
అంజి	anji
అంజిరెడ్డి	anjireddy
అంజు	anju
అంటకుండా	antakundaa
అంటదు	antadhu
అంటరానితనం	amtaraanitanam
అంటాం	antaam
అంటాడు	antaadu
అంటారాయన	antaaraayana
అంటారు	antaaru
అంటార్కిటిక్	antarcitic
అంటు	antu
అంటుంటాడు	antuntaadu
అంటుంటారు	antuntaaru
అంటుంది	antundi
అంటుకుంటుంది	antukuntundi
అంటున్నారు	antunnaaru
అంటురోగాలు	anturogaalu
అంటూ	antu
అంటె	amtey
అంటే	amtay
అంటోని	antony
అండ	anda
అండగా	andagaa
అండతో	andatho
అండదండలు	andadhandalu
అండమాన్	andaman
అండర్సన్	anderson
అండాల	andaala
అంతః	antah
అంతఃపుర	antahpura
అంతఃపురంలో	antahpuramlo
అంతకంటే	antakante
అంతకన్నా	anthakannaa
అంతకు	anthaku
అంతకుమించి	anthakuminchi
అంతకుముందు	antakumundu
అంతట	amtata
అంతటా	amtataa
అంతటి	anthati
అంతటికీ	antatikee
అంతటితో	antatitoo
అంతయు	antayu
అంతరం	antharam
అంతరంగ	antharanga
అంతరంగాన్ని	antarangaanni
అంతరాత్మ	antaraatma
అంతరాయం	antharaayam
అంతరాయాలు	antarayalu
అంతరాలయం	antaraalayam
అంతరించి	antharinchi
అంతరించిపోతున్న	antharinchipothunna
అంతరించిపోతున్నాయి	antarinchipothunnaayi
అంతరించే	antharinche
అంతరిక్ష	anthariksha
అంతరిక్షంలో	antarikshamlo
అంతర్గత	amtargata
అంతర్గతంగా	amtargatamgaa
అంతర్జాతీయ	amtarjaatiiya
అంతర్జాతీయంగా	amtarjaatiiyamgaa
అంతర్జాల	amtarjaala
అంతర్జాలంలో	antarjalamlo
అంతర్భాగం	antarbhaagam
అంతర్భాగంలో	antharbhaagamlo
అంతర్ముఖం	amtarmukham
అంతర్యుద్ధం	amtaryuddham
అంతర్లీన	amtarliina
అంతవరకు	anthavaraku
అంతస్తు	amtastu
అంతస్తుల	antastula
అంతస్తులు	antastulu
అంతస్తులో	antastulo
అంతస్థుల	antansdhula
అంతా	amtaa
అంతిమ	anthima
అంతిమంగా	anthimamgaa
అంతుచిక్కని	anthuchikkani
అంతుపట్టని	anthupattani
అంతులేని	amtulaeni
అంతె	amte
అంతే	ante
అంతేకాక	anteykaaka
అంతేకాకుండా	antekakunda
అంతేకాదు	antekaadu
అంతేగాక	antheegaaka
అంత్య	anthya
అంత్యక్రియలకు	anthyakriyalaku
అంత్యక్రియలు	anthyakriyalu
అందం	andam
అందంగా	andamga
